EmployeeID,Age,Department,JobRole,MonthlyIncome,JobSatisfaction,WorkLifeBalance,OverTime,YearsAtCompany,EducationField,PerformanceRating,NumCompaniesWorked,DistanceFromHome,Attrition
131,39,Research & Development,Research Scientist,24528,4,3,Yes,2,Medical,3,0,3,Yes
132,51,Research & Development,Research Scientist,59682,2,3,Yes,10,Life Sciences,3,0,13,Yes
133,49,Sales,Manager,17663,3,3,Yes,1,Marketing,4,4,25,Yes
134,42,Research & Development,Sales Executive,48173,3,1,No,11,Marketing,3,7,1,No
135,50,Research & Development,Sales Executive,71929,4,1,Yes,13,Other,2,6,16,Yes
136,55,Research & Development,Human Resources,12267,4,3,No,1,Technical Degree,4,7,19,No
137,27,Sales,Sales Executive,35527,2,2,No,19,Marketing,3,4,14,Yes
138,58,Research & Development,Laboratory Technician,54056,4,4,No,17,Medical,3,6,13,No
139,55,Human Resources,Sales Executive,65066,2,3,No,14,Life Sciences,2,4,22,No
140,44,Human Resources,Research Scientist,79473,2,4,No,18,Marketing,4,0,8,No
141,25,Research & Development,Manufacturing Director,16267,2,1,Yes,12,Other,3,9,13,Yes
142,26,Research & Development,Laboratory Technician,22289,3,2,No,11,Medical,1,5,4,No
143,39,Sales,Human Resources,57734,3,2,No,3,Other,4,8,9,No
144,26,Research & Development,Manager,60222,1,3,No,18,Life Sciences,2,5,12,No
145,46,Research & Development,Sales Executive,28912,2,2,Yes,17,Medical,3,5,5,Yes
146,48,Sales,Research Scientist,65623,2,4,No,19,Medical,1,3,8,No
147,43,Sales,Laboratory Technician,64911,1,2,No,13,Medical,3,0,13,Yes
148,43,Sales,Human Resources,13325,4,4,Yes,11,Life Sciences,3,6,26,Yes
149,32,Human Resources,Research Scientist,45239,1,4,No,13,Technical Degree,1,7,1,No
150,35,Sales,Sales Executive,40867,4,4,Yes,3,Medical,4,6,24,No
151,39,Human Resources,Manager,31753,3,3,No,1,Life Sciences,4,5,2,No
152,31,Sales,Manager,51560,4,2,No,2,Life Sciences,2,9,11,No
153,59,Sales,Research Scientist,56881,1,2,No,15,Life Sciences,4,3,24,Yes
154,51,Research & Development,Manager,79461,3,3,No,13,Marketing,4,6,27,No
155,22,Research & Development,Laboratory Technician,60551,4,4,No,10,Life Sciences,1,8,21,No
156,41,Research & Development,Research Scientist,21791,2,4,No,9,Marketing,4,0,23,Yes
157,48,Human Resources,Manager,34860,4,2,Yes,0,Marketing,4,0,17,Yes
158,46,Sales,Research Scientist,79131,3,3,Yes,2,Medical,1,0,15,No
159,57,Research & Development,Manufacturing Director,58108,3,4,Yes,9,Marketing,1,2,22,No
160,45,Research & Development,Sales Executive,40991,1,3,No,3,Marketing,1,8,13,No
161,57,Research & Development,Sales Executive,22409,1,1,No,4,Marketing,4,7,28,Yes
162,27,Research & Development,Sales Executive,79506,4,1,Yes,6,Life Sciences,1,7,21,Yes
163,25,Research & Development,Research Scientist,13425,4,1,Yes,3,Marketing,3,1,11,Yes
164,40,Research & Development,Laboratory Technician,55771,1,3,No,12,Other,4,0,22,No
165,50,Research & Development,Research Scientist,15263,2,3,No,13,Technical Degree,4,9,26,Yes
166,21,Sales,Manager,51420,1,3,Yes,0,Medical,2,5,29,Yes
167,27,Research & Development,Manager,30303,3,3,No,16,Marketing,3,1,6,No
168,30,Research & Development,Laboratory Technician,33291,4,2,Yes,8,Other,4,4,12,Yes
169,22,Research & Development,Research Scientist,32904,4,2,No,7,Life Sciences,1,2,3,No
170,48,Research & Development,Manufacturing Director,52333,3,2,Yes,9,Technical Degree,1,5,7,Yes
171,24,Research & Development,Laboratory Technician,30725,3,3,No,3,Other,4,9,18,No
172,28,Research & Development,Manager,38202,3,3,Yes,6,Technical Degree,1,3,5,No
173,48,Research & Development,Manager,58845,3,1,Yes,1,Medical,4,9,4,Yes
174,27,Sales,Manufacturing Director,60461,1,4,No,1,Other,1,6,12,No
175,20,Human Resources,Manager,44671,3,1,No,10,Medical,2,3,19,No
176,19,Sales,Human Resources,58569,3,1,Yes,16,Other,4,7,13,Yes
177,56,Human Resources,Manager,62363,2,2,No,12,Medical,4,5,1,Yes
178,31,Sales,Manager,29721,3,2,Yes,6,Other,1,1,24,Yes
179,29,Sales,Laboratory Technician,76481,1,1,No,16,Other,1,7,5,Yes
180,23,Research & Development,Manufacturing Director,46918,1,3,Yes,0,Life Sciences,3,9,11,Yes
181,47,Human Resources,Research Scientist,10683,1,4,Yes,1,Other,2,6,10,Yes
182,38,Sales,Laboratory Technician,74438,2,1,Yes,7,Medical,1,8,6,Yes
183,52,Research & Development,Human Resources,31950,3,4,No,3,Medical,2,6,6,No
184,58,Sales,Human Resources,63083,1,1,No,4,Other,4,5,29,Yes
185,50,Human Resources,Research Scientist,44506,4,2,No,3,Life Sciences,3,0,26,No
186,48,Research & Development,Manager,75605,1,3,No,12,Technical Degree,2,8,8,No
187,40,Research & Development,Manager,67168,1,4,No,5,Other,4,7,3,No
188,23,Sales,Manufacturing Director,69698,4,2,No,16,Marketing,2,2,11,No
189,36,Sales,Research Scientist,46359,2,3,No,4,Marketing,2,2,5,No
190,19,Sales,Research Scientist,22608,3,3,No,17,Other,4,8,6,No
191,31,Human Resources,Manager,25482,2,3,No,19,Life Sciences,4,6,10,No
192,36,Sales,Laboratory Technician,25864,2,3,No,0,Marketing,3,3,27,Yes
193,45,Research & Development,Research Scientist,44991,3,2,No,15,Life Sciences,3,0,15,No
194,37,Human Resources,Research Scientist,33949,2,2,Yes,2,Technical Degree,1,2,9,Yes
195,55,Sales,Sales Executive,77355,4,1,No,1,Technical Degree,1,1,11,No
196,25,Sales,Manager,50655,3,3,No,8,Other,4,4,24,No
197,42,Sales,Manager,60531,3,4,No,11,Life Sciences,3,6,28,No
198,57,Sales,Manager,24040,4,2,No,1,Technical Degree,2,6,14,Yes
199,33,Sales,Manager,37888,2,2,Yes,17,Marketing,1,4,20,Yes
200,24,Sales,Human Resources,69684,2,3,No,13,Technical Degree,1,9,26,No
201,27,Research & Development,Research Scientist,54057,1,3,Yes,3,Medical,1,6,27,Yes
202,18,Research & Development,Manager,78988,4,4,No,5,Marketing,2,2,22,No
203,22,Research & Development,Sales Executive,67416,2,3,Yes,13,Marketing,1,8,11,Yes
204,32,Research & Development,Manager,15672,3,3,No,17,Life Sciences,3,2,27,No
205,22,Sales,Manager,65723,3,3,Yes,12,Other,2,1,2,No
206,24,Human Resources,Sales Executive,14660,4,4,No,2,Other,3,7,15,No
207,27,Sales,Research Scientist,49391,3,3,Yes,9,Technical Degree,1,5,25,No
208,54,Human Resources,Human Resources,19344,1,3,Yes,10,Technical Degree,1,2,28,Yes
209,44,Research & Development,Laboratory Technician,18840,1,3,No,1,Other,2,3,5,Yes
210,56,Sales,Laboratory Technician,51266,1,4,No,2,Life Sciences,3,6,18,No
211,38,Sales,Laboratory Technician,45444,4,2,No,18,Technical Degree,1,3,15,No
212,27,Sales,Laboratory Technician,77905,1,3,No,11,Medical,2,9,10,No
213,58,Research & Development,Laboratory Technician,49899,4,2,No,16,Medical,3,7,17,No
214,34,Sales,Research Scientist,55696,1,4,No,19,Medical,4,7,10,No
215,29,Sales,Research Scientist,40846,1,4,Yes,10,Marketing,2,1,2,Yes
216,57,Sales,Human Resources,66702,1,2,Yes,5,Other,4,7,3,Yes
217,35,Research & Development,Research Scientist,41615,2,2,No,12,Life Sciences,2,9,6,Yes
218,57,Sales,Manufacturing Director,78667,2,4,Yes,0,Technical Degree,4,3,19,Yes
219,51,Research & Development,Manufacturing Director,41120,2,1,No,11,Marketing,4,9,8,Yes
220,29,Research & Development,Human Resources,13844,1,2,No,9,Technical Degree,2,6,10,Yes
221,32,Research & Development,Manufacturing Director,45438,3,3,No,1,Life Sciences,4,7,3,No
222,33,Research & Development,Research Scientist,74723,2,2,Yes,1,Other,1,0,21,Yes
223,39,Research & Development,Laboratory Technician,31113,2,2,No,19,Life Sciences,2,5,24,Yes
224,23,Research & Development,Human Resources,58839,3,4,Yes,19,Life Sciences,2,4,5,No
225,31,Research & Development,Research Scientist,63681,3,2,Yes,5,Medical,4,3,17,Yes
226,58,Sales,Manufacturing Director,19226,4,2,No,16,Life Sciences,1,7,4,No
227,21,Sales,Manufacturing Director,23150,2,3,No,4,Life Sciences,3,6,20,Yes
228,49,Research & Development,Laboratory Technician,49673,2,3,No,13,Other,4,1,8,No
229,30,Sales,Research Scientist,77798,2,1,No,11,Technical Degree,2,1,19,Yes
230,41,Research & Development,Sales Executive,72026,2,1,No,4,Marketing,2,2,12,Yes
231,35,Research & Development,Sales Executive,51771,3,3,No,10,Medical,4,4,20,No
232,47,Research & Development,Manager,36135,2,4,Yes,4,Life Sciences,2,2,29,Yes
233,23,Sales,Laboratory Technician,46239,3,2,No,13,Marketing,3,5,4,No
234,38,Research & Development,Sales Executive,68578,3,4,Yes,13,Medical,1,0,23,No
235,23,Human Resources,Human Resources,77506,1,3,No,2,Marketing,3,4,3,No
236,24,Sales,Human Resources,56498,4,3,No,5,Technical Degree,2,6,6,No
237,58,Research & Development,Sales Executive,29691,4,4,No,19,Life Sciences,3,9,27,No
238,34,Sales,Research Scientist,38758,4,3,Yes,15,Other,3,5,26,No
239,28,Research & Development,Sales Executive,53558,2,3,No,18,Marketing,2,2,23,No
240,22,Human Resources,Manager,63995,3,1,No,14,Life Sciences,4,8,4,No
241,40,Sales,Manager,12066,3,1,Yes,19,Other,4,0,27,Yes
242,37,Sales,Laboratory Technician,32582,2,4,No,11,Technical Degree,1,2,12,No
243,39,Human Resources,Sales Executive,51235,1,2,Yes,18,Life Sciences,1,2,2,Yes
244,27,Sales,Manager,72878,1,1,Yes,5,Other,1,3,3,Yes
245,53,Research & Development,Sales Executive,29638,4,4,Yes,16,Technical Degree,3,3,1,No
246,53,Research & Development,Human Resources,73132,2,1,No,18,Other,2,6,11,Yes
247,29,Sales,Manufacturing Director,30690,3,4,No,2,Medical,3,9,27,No
248,59,Research & Development,Manager,57044,3,2,No,17,Marketing,2,3,14,No
249,36,Research & Development,Human Resources,39945,3,3,No,16,Marketing,3,6,28,No
250,37,Research & Development,Manufacturing Director,64851,3,3,No,14,Medical,3,1,12,No
251,59,Research & Development,Manufacturing Director,73667,1,4,No,14,Medical,3,3,20,No
252,35,Research & Development,Sales Executive,78338,4,2,No,13,Technical Degree,1,6,10,No
253,28,Research & Development,Laboratory Technician,55158,4,1,No,19,Life Sciences,1,5,25,No
254,54,Research & Development,Human Resources,28840,2,3,Yes,0,Life Sciences,4,2,19,Yes
255,18,Research & Development,Sales Executive,22867,4,2,No,4,Life Sciences,2,4,18,No
256,48,Research & Development,Research Scientist,47126,2,3,No,9,Technical Degree,3,0,18,No
257,39,Sales,Laboratory Technician,52887,1,3,Yes,11,Life Sciences,2,9,20,Yes
258,50,Sales,Research Scientist,55300,4,4,No,14,Technical Degree,2,1,1,No
259,58,Research & Development,Research Scientist,76617,2,3,No,16,Marketing,1,6,4,No
260,35,Sales,Human Resources,78904,3,1,No,14,Life Sciences,4,3,15,No
261,31,Research & Development,Human Resources,57327,1,2,No,9,Marketing,1,1,15,Yes
262,21,Sales,Manager,59257,3,1,Yes,2,Medical,3,4,29,Yes
263,49,Sales,Research Scientist,42440,2,3,Yes,19,Medical,3,8,5,Yes
264,50,Sales,Sales Executive,54370,4,3,No,14,Life Sciences,1,5,16,No
265,50,Research & Development,Laboratory Technician,72465,4,4,Yes,4,Marketing,1,9,22,No
266,56,Research & Development,Manager,24276,4,2,No,14,Other,2,5,20,No
267,55,Human Resources,Research Scientist,52273,4,3,No,2,Medical,1,1,26,No
268,33,Human Resources,Research Scientist,22688,3,4,No,13,Other,4,6,1,No
269,57,Sales,Sales Executive,47212,3,2,No,2,Medical,3,4,5,No
270,38,Research & Development,Human Resources,17541,2,2,No,16,Technical Degree,3,6,1,Yes
271,49,Human Resources,Human Resources,64035,2,3,No,5,Technical Degree,4,4,17,No
272,43,Human Resources,Sales Executive,60103,1,1,No,1,Medical,4,7,5,Yes
273,18,Human Resources,Manager,15490,1,3,No,2,Marketing,2,7,20,Yes
274,50,Sales,Research Scientist,42974,2,2,Yes,14,Other,4,1,10,Yes
275,43,Human Resources,Manufacturing Director,18161,1,2,Yes,10,Other,4,9,18,Yes
276,20,Sales,Sales Executive,14329,4,1,No,19,Marketing,3,1,3,No
277,48,Research & Development,Laboratory Technician,79662,1,2,No,1,Technical Degree,3,1,4,Yes
278,35,Research & Development,Sales Executive,77032,1,3,No,5,Marketing,1,0,29,No
279,24,Sales,Laboratory Technician,52115,1,1,Yes,6,Life Sciences,1,4,23,Yes
280,40,Sales,Research Scientist,73960,3,1,Yes,17,Life Sciences,2,0,28,Yes
281,47,Sales,Research Scientist,27072,1,2,No,1,Medical,3,5,23,Yes
282,25,Sales,Human Resources,16878,1,1,Yes,14,Life Sciences,4,7,2,Yes
283,46,Sales,Laboratory Technician,32967,3,3,No,16,Marketing,2,7,17,No
284,37,Human Resources,Manufacturing Director,49310,2,4,No,16,Medical,1,7,2,No
285,18,Sales,Manager,52089,2,4,No,5,Medical,1,7,12,No
286,25,Research & Development,Manager,72874,2,4,No,3,Technical Degree,3,2,7,No
287,47,Sales,Sales Executive,20014,3,3,No,13,Other,2,2,20,No
288,41,Human Resources,Sales Executive,56804,1,4,No,3,Life Sciences,1,8,18,No
289,34,Human Resources,Sales Executive,56846,1,4,No,19,Marketing,4,1,19,No
290,20,Sales,Laboratory Technician,33148,2,2,No,3,Marketing,3,1,5,Yes
291,52,Research & Development,Human Resources,21462,2,2,No,0,Technical Degree,4,5,1,Yes
292,30,Research & Development,Manufacturing Director,31829,1,3,Yes,16,Other,1,9,7,Yes
293,28,Sales,Laboratory Technician,70906,1,2,Yes,6,Marketing,2,1,1,Yes
294,33,Research & Development,Sales Executive,18809,1,3,No,4,Technical Degree,3,2,1,Yes
295,50,Sales,Manager,12221,2,4,Yes,10,Other,3,5,12,Yes
296,23,Research & Development,Sales Executive,45686,1,3,No,6,Other,4,9,11,No
297,45,Human Resources,Manager,71709,1,4,No,8,Technical Degree,4,3,26,No
298,34,Research & Development,Human Resources,41652,4,2,No,16,Marketing,3,1,27,No
299,23,Sales,Manager,13892,2,2,No,9,Marketing,2,9,9,Yes
300,37,Human Resources,Manager,25247,2,4,No,1,Other,3,7,14,No
301,29,Research & Development,Sales Executive,76018,1,4,Yes,9,Marketing,4,3,1,Yes
302,56,Sales,Sales Executive,48950,4,2,No,3,Life Sciences,4,9,8,No
303,25,Research & Development,Research Scientist,57442,3,4,Yes,6,Marketing,1,8,15,No
304,42,Research & Development,Research Scientist,72519,4,2,Yes,18,Marketing,1,2,10,Yes
305,50,Research & Development,Sales Executive,65589,1,4,No,6,Other,4,0,2,No
306,59,Research & Development,Manager,38580,4,2,No,15,Technical Degree,1,5,5,No
307,56,Research & Development,Laboratory Technician,51292,3,2,No,3,Technical Degree,1,2,19,No
308,45,Sales,Manager,27602,3,3,No,15,Other,3,7,6,No
309,18,Sales,Manufacturing Director,54868,1,4,No,11,Other,2,0,26,No
310,44,Research & Development,Manufacturing Director,21814,4,2,No,7,Marketing,2,8,13,No
311,27,Sales,Sales Executive,56432,3,1,No,16,Marketing,3,8,18,No
312,45,Research & Development,Human Resources,64532,2,4,No,18,Other,1,9,17,No
313,44,Research & Development,Research Scientist,64022,2,3,No,16,Medical,1,4,23,No
314,41,Human Resources,Manufacturing Director,36207,3,2,No,18,Other,3,0,28,No
315,43,Research & Development,Sales Executive,68505,3,2,No,9,Life Sciences,2,9,16,No
316,37,Research & Development,Laboratory Technician,71759,4,4,Yes,13,Technical Degree,3,9,24,No
317,58,Research & Development,Sales Executive,74789,3,2,No,14,Technical Degree,1,3,8,No
318,51,Sales,Human Resources,55387,2,1,No,19,Life Sciences,2,9,7,Yes
319,30,Research & Development,Laboratory Technician,20708,1,3,No,17,Medical,3,2,23,Yes
320,29,Human Resources,Manager,25118,3,4,No,15,Technical Degree,1,1,7,No
321,47,Sales,Laboratory Technician,72297,2,2,Yes,13,Other,2,0,19,Yes
322,48,Sales,Laboratory Technician,69105,1,4,No,0,Medical,3,0,21,Yes
323,49,Sales,Research Scientist,33414,2,1,No,9,Medical,1,3,9,Yes
324,46,Human Resources,Human Resources,68032,3,2,No,15,Life Sciences,1,7,8,No
325,55,Research & Development,Research Scientist,30460,2,2,Yes,19,Other,2,5,23,Yes
326,33,Research & Development,Sales Executive,26479,2,2,No,7,Life Sciences,1,6,24,Yes
327,38,Sales,Human Resources,39682,2,1,No,17,Life Sciences,2,5,6,Yes
328,39,Research & Development,Research Scientist,17196,3,3,Yes,2,Life Sciences,2,2,22,Yes
329,38,Sales,Manager,21403,4,2,No,2,Marketing,4,9,27,Yes
